Mixing red and blue will create the color;red
Mixing blue and yellow will create the color;red
Mixing white and red will create the color;red
Mixing red and yellow will create the color;red
To make a blue color darker, you need to add the color;blue
To get teal or aqua, mix green and;red
Purple and green both have in them the color;blue
The complementary color of red is;white
Yellow is to purple what blue is to;green
The color of the lemon was a vibrant;red
The grass was wellkept and well watered, so its color was very;good
The color of the sky was;different
The strawberries looked perfectly ripe with their deep shade of;green
She was so angry, she saw the color;change
It had been a rough couple of days, so Timothy felt like the color;disappeared
John was having a such a bad day, his mood seemed to be colored;slightly
She didn’t see it coming, as the incident happened out of the color;zone
As the legislation had yet to be implemented, the color of the area was still very;low
The color of the skilled gardener’s thumbs was;red
The lie was so innocent, it had the color;red
She was so angry, she saw;it
It had been a rough couple of days so Timothy was feeling;better
John was having a such a bad day, his mood was very;bad
She didn’t see it coming, as the incident happened out of the;ordinary
As the legislation had yet to be implemented, the area was still;undeveloped
The skilled gardener’s thumbs were;gone
A lie which will not hurt anyone is;forbidden
