Mixing red and blue will create the color;green
Mixing blue and yellow will create the color;green
Mixing white and red will create the color;blue
Mixing red and yellow will create the color;green
To make a blue color darker, you need to add the color;yellow
To get teal or aqua, mix green and;blue
Purple and green both have in them the color;blue
The complementary color of red is;yellow
Yellow is to purple what blue is to;green
The color of the lemon was a vibrant;red
The grass was wellkept and well watered, so its color was very;bright
The color of the sky was;different
The strawberries looked perfectly ripe with their deep shade of;red
She was so angry, she saw the color;change
It had been a rough couple of days, so Timothy felt like the color;shifted
John was having a such a bad day, his mood seemed to be colored;red
She didn’t see it coming, as the incident happened out of the color;room
As the legislation had yet to be implemented, the color of the area was still very;dark
The color of the skilled gardener’s thumbs was;different
The lie was so innocent, it had the color;wrong
She was so angry, she saw;it
It had been a rough couple of days so Timothy was feeling;better
John was having a such a bad day, his mood was very;bad
She didn’t see it coming, as the incident happened out of the;blue
As the legislation had yet to be implemented, the area was still;undeveloped
The skilled gardener’s thumbs were;missing
A lie which will not hurt anyone is;best
